[ ID]	Interval	Transfer	Bandwidth
[  4]	0.00-1.00sec	11.2 MBytes	94.4 Mbits/sec                  
[  4]	1.00-2.00sec	10.4 MBytes	87.0 Mbits/sec                  
[  4]	2.00-3.00sec	11.1 MBytes	93.3 Mbits/sec                  
[  4]	3.00-4.00sec	11.2 MBytes	94.4 Mbits/sec                  
[  4]	4.00-5.00sec	11.2 MBytes	94.4 Mbits/sec                  
[  4]	5.00-6.00sec	10.6 MBytes	89.1 Mbits/sec                  
[  4]	6.00-7.00sec	10.0 MBytes	83.9 Mbits/sec                  
[  4]	7.00-8.00sec	11.4 MBytes	95.4 Mbits/sec                  
[  4]	8.00-9.00sec	10.8 MBytes	90.2 Mbits/sec                  
[  4]	9.00-10.00sec	11.4 MBytes	95.4 Mbits/sec                  
[  4]	10.00-11.00sec	10.9 MBytes	91.2 Mbits/sec                  
[  4]	11.00-12.00sec	11.6 MBytes	97.5 Mbits/sec                  
[  4]	12.00-13.00sec	10.6 MBytes	89.1 Mbits/sec                  
[  4]	13.00-14.00sec	10.2 MBytes	86.0 Mbits/sec                  
[  4]	14.00-15.00sec	9.25 MBytes	77.6 Mbits/sec                  
[  4]	15.00-16.00sec	10.8 MBytes	90.2 Mbits/sec                  
[  4]	16.00-17.00sec	10.1 MBytes	84.9 Mbits/sec                  
[  4]	17.00-18.00sec	10.8 MBytes	90.3 Mbits/sec                  
[  4]	18.00-19.00sec	10.4 MBytes	87.0 Mbits/sec                  
[  4]	19.00-20.00sec	10.5 MBytes	88.1 Mbits/sec                  
[  4]	20.00-21.00sec	8.62 MBytes	72.3 Mbits/sec                  
[  4]	21.00-22.00sec	10.2 MBytes	86.0 Mbits/sec                  
[  4]	22.00-23.00sec	9.38 MBytes	78.6 Mbits/sec                  
[  4]	23.00-24.00sec	9.12 MBytes	76.5 Mbits/sec                  
[  4]	24.00-25.00sec	9.75 MBytes	81.8 Mbits/sec                  
[  4]	25.00-26.00sec	10.5 MBytes	88.1 Mbits/sec                  
[  4]	26.00-27.00sec	9.88 MBytes	82.8 Mbits/sec                  
[  4]	27.00-28.00sec	9.75 MBytes	81.8 Mbits/sec                  
[  4]	28.00-29.00sec	11.0 MBytes	92.3 Mbits/sec                  
[  4]	29.00-30.00sec	10.1 MBytes	84.9 Mbits/sec                  
[  4]	30.00-31.00sec	10.9 MBytes	91.2 Mbits/sec                  
[  4]	31.00-32.00sec	11.2 MBytes	94.4 Mbits/sec                  
[  4]	32.00-33.00sec	10.6 MBytes	89.1 Mbits/sec                  
[  4]	33.00-34.00sec	10.5 MBytes	88.1 Mbits/sec                  
[  4]	34.00-35.00sec	10.8 MBytes	90.3 Mbits/sec                  
[  4]	35.00-36.00sec	9.12 MBytes	76.5 Mbits/sec                  
[  4]	36.00-37.00sec	9.62 MBytes	80.7 Mbits/sec                  
[  4]	37.00-38.00sec	11.1 MBytes	93.3 Mbits/sec                  
[  4]	38.00-39.00sec	10.6 MBytes	89.1 Mbits/sec                  
[  4]	39.00-40.00sec	11.1 MBytes	93.3 Mbits/sec                  
[  4]	40.00-41.00sec	11.2 MBytes	94.4 Mbits/sec                  
[  4]	41.00-42.00sec	10.9 MBytes	91.2 Mbits/sec                  
[  4]	42.00-43.00sec	10.8 MBytes	90.2 Mbits/sec                  
[  4]	43.00-44.00sec	9.75 MBytes	81.8 Mbits/sec                  
[  4]	44.00-45.00sec	9.88 MBytes	82.8 Mbits/sec                  
[  4]	45.00-46.00sec	11.1 MBytes	93.3 Mbits/sec                  
[  4]	46.00-47.00sec	11.0 MBytes	92.3 Mbits/sec                  
[  4]	47.00-48.00sec	11.2 MBytes	94.4 Mbits/sec                  
[  4]	48.00-49.00sec	10.5 MBytes	88.1 Mbits/sec                  
[  4]	49.00-50.00sec	10.8 MBytes	90.2 Mbits/sec                  
[  4]	50.00-51.00sec	10.0 MBytes	83.9 Mbits/sec                  
[  4]	51.00-52.00sec	10.4 MBytes	87.0 Mbits/sec                  
[  4]	52.00-53.00sec	11.2 MBytes	94.5 Mbits/sec                  
[  4]	53.00-54.00sec	10.2 MBytes	86.0 Mbits/sec                  
[  4]	54.00-55.00sec	10.6 MBytes	89.1 Mbits/sec                  
[  4]	55.00-56.00sec	10.8 MBytes	90.2 Mbits/sec                  
[  4]	56.00-57.00sec	11.2 MBytes	94.4 Mbits/sec                  
[  4]	57.00-58.00sec	11.2 MBytes	94.4 Mbits/sec                  
[  4]	58.00-59.00sec	11.4 MBytes	95.4 Mbits/sec                  
[  4]	59.00-60.00sec	10.6 MBytes	89.1 Mbits/sec                  
[  4]	0.00-60.00sec6	33 MBytes	88.6
[  4]	0.00-60.00sec6	32 MBytes	88.4
